t	dx	dy	dz	da	db	dc	
0.011	1.00007	-6.82636e-07	2.61156e-11	3.53758e-08	1.99948	0.00055212	
0.01105	1.00007	-6.85816e-07	2.64829e-11	3.55407e-08	1.99948	0.000554651	
0.0111	1.00007	-6.88997e-07	2.68537e-11	3.57055e-08	1.99948	0.000557182	
0.01115	1.00007	-6.92177e-07	2.72279e-11	3.58703e-08	1.99948	0.000559713	
0.0112	1.00007	-6.95358e-07	2.76056e-11	3.60351e-08	1.99948	0.000562244	
0.01125	1.00007	-6.98539e-07	2.79866e-11	3.62e-08	1.99948	0.000564775	
0.0113	1.00007	-7.01719e-07	2.83712e-11	3.63648e-08	1.99948	0.000567305	
0.01135	1.00007	-7.049e-07	2.87592e-11	3.65296e-08	1.99948	0.000569836	
0.0114	1.00007	-7.0808e-07	2.91507e-11	3.66944e-08	1.99948	0.000572367	
0.01145	1.00007	-7.11261e-07	2.95457e-11	3.68593e-08	1.99948	0.000574898	
0.0115	1.00007	-7.14442e-07	2.99442e-11	3.70241e-08	1.99948	0.000577429	
0.01155	1.00007	-7.17622e-07	3.03463e-11	3.71889e-08	1.99948	0.00057996	
0.0116	1.00007	-7.20803e-07	3.07519e-11	3.73537e-08	1.99948	0.00058249	
0.01165	1.00007	-7.23983e-07	3.11611e-11	3.75186e-08	1.99948	0.000585021	
0.0117	1.00007	-7.27164e-07	3.15739e-11	3.76834e-08	1.99948	0.000587552	
0.01175	1.00007	-7.30344e-07	3.19903e-11	3.78482e-08	1.99948	0.000590083	
0.0118	1.00007	-7.33525e-07	3.24102e-11	3.8013e-08	1.99948	0.000592614	
0.01185	1.00007	-7.36705e-07	3.28339e-11	3.81779e-08	1.99948	0.000595145	
0.0119	1.00007	-7.39886e-07	3.32611e-11	3.83427e-08	1.99948	0.000597675	
0.01195	1.00007	-7.43066e-07	3.36921e-11	3.85075e-08	1.99948	0.000600206	
0.012	1.00007	-7.46247e-07	3.41267e-11	3.86723e-08	1.99948	0.000602737	
0.01205	1.00007	-7.49427e-07	3.4565e-11	3.88371e-08	1.99948	0.000605268	
0.0121	1.00007	-7.52608e-07	3.5007e-11	3.9002e-08	1.99948	0.000607798	
0.01215	1.00007	-7.55788e-07	3.54527e-11	3.91668e-08	1.99948	0.000610329	
0.0122	1.00007	-7.58969e-07	3.59022e-11	3.93316e-08	1.99948	0.00061286	
0.01225	1.00007	-7.62149e-07	3.63554e-11	3.94964e-08	1.99948	0.000615391	
0.0123	1.00007	-7.6533e-07	3.68124e-11	3.96612e-08	1.99948	0.000617921	
0.01235	1.00007	-7.6851e-07	3.72732e-11	3.98261e-08	1.99948	0.000620452	
0.0124	1.00007	-7.7169e-07	3.77378e-11	3.99909e-08	1.99948	0.000622983	
0.01245	1.00007	-7.74871e-07	3.82062e-11	4.01557e-08	1.99948	0.000625513	
0.0125	1.00007	-7.78051e-07	3.86784e-11	4.03205e-08	1.99948	0.000628044	
0.01255	1.00007	-7.81232e-07	3.91545e-11	4.04853e-08	1.99948	0.000630575	
0.0126	1.00007	-7.84412e-07	3.96345e-11	4.06501e-08	1.99948	0.000633106	
0.01265	1.00007	-7.87592e-07	4.01183e-11	4.08149e-08	1.99948	0.000635636	
0.0127	1.00007	-7.90773e-07	4.0606e-11	4.09798e-08	1.99948	0.000638167	
0.01275	1.00007	-7.93953e-07	4.10977e-11	4.11446e-08	1.99948	0.000640698	
0.0128	1.00007	-7.97133e-07	4.15932e-11	4.13094e-08	1.99948	0.000643228	
0.01285	1.00007	-8.00314e-07	4.20927e-11	4.14742e-08	1.99948	0.000645759	
0.0129	1.00007	-8.03494e-07	4.25962e-11	4.1639e-08	1.99948	0.000648289	
0.01295	1.00007	-8.06675e-07	4.31036e-11	4.18038e-08	1.99948	0.00065082	
0.013	1.00007	-8.09855e-07	4.3615e-11	4.19686e-08	1.99948	0.000653351	
0.01305	1.00007	-8.13035e-07	4.41304e-11	4.21335e-08	1.99948	0.000655881	
0.0131	1.00007	-8.16215e-07	4.46499e-11	4.22983e-08	1.99948	0.000658412	
0.01315	1.00007	-8.19396e-07	4.51733e-11	4.24631e-08	1.99948	0.000660943	
0.0132	1.00007	-8.22576e-07	4.57008e-11	4.26279e-08	1.99948	0.000663473	
0.01325	1.00007	-8.25756e-07	4.62324e-11	4.27927e-08	1.99948	0.000666004	
0.0133	1.00007	-8.28937e-07	4.67681e-11	4.29575e-08	1.99948	0.000668534	
0.01335	1.00007	-8.32117e-07	4.73079e-11	4.31223e-08	1.99948	0.000671065	
0.0134	1.00007	-8.35297e-07	4.78517e-11	4.32871e-08	1.99948	0.000673595	
0.01345	1.00007	-8.38477e-07	4.83997e-11	4.34519e-08	1.99948	0.000676126	
0.0135	1.00007	-8.41658e-07	4.89519e-11	4.36167e-08	1.99948	0.000678657	
0.01355	1.00007	-8.44838e-07	4.95082e-11	4.37815e-08	1.99948	0.000681187	
0.0136	1.00007	-8.48018e-07	5.00686e-11	4.39464e-08	1.99948	0.000683718	
0.01365	1.00007	-8.51198e-07	5.06333e-11	4.41112e-08	1.99948	0.000686248	
0.0137	1.00007	-8.54379e-07	5.12021e-11	4.4276e-08	1.99948	0.000688779	
0.01375	1.00007	-8.57559e-07	5.17752e-11	4.44408e-08	1.99948	0.000691309	
0.0138	1.00007	-8.60739e-07	5.23525e-11	4.46056e-08	1.99948	0.00069384	
0.01385	1.00007	-8.63919e-07	5.29341e-11	4.47704e-08	1.99948	0.00069637	
0.0139	1.00007	-8.67099e-07	5.35199e-11	4.49352e-08	1.99948	0.000698901	
0.01395	1.00007	-8.70279e-07	5.41101e-11	4.51e-08	1.99948	0.000701431	
0.014	1.00007	-8.7346e-07	5.47045e-11	4.52648e-08	1.99948	0.000703962	
0.01405	1.00007	-8.7664e-07	5.53032e-11	4.54296e-08	1.99948	0.000706492	
0.0141	1.00007	-8.7982e-07	5.59063e-11	4.55944e-08	1.99948	0.000709022	
0.01415	1.00007	-8.83e-07	5.65137e-11	4.57592e-08	1.99948	0.000711553	
0.0142	1.00007	-8.8618e-07	5.71254e-11	4.5924e-08	1.99948	0.000714083	
0.01425	1.00007	-8.8936e-07	5.77415e-11	4.60888e-08	1.99948	0.000716614	
0.0143	1.00007	-8.9254e-07	5.83621e-11	4.62536e-08	1.99948	0.000719144	
0.01435	1.00007	-8.9572e-07	5.8987e-11	4.64184e-08	1.99948	0.000721675	
0.0144	1.00007	-8.98901e-07	5.96163e-11	4.65832e-08	1.99948	0.000724205	
0.01445	1.00007	-9.02081e-07	6.02501e-11	4.6748e-08	1.99948	0.000726735	
