t	X	z11	Z	dz11	dZ	
6.01	2.19228e-17	-0.00527601	-0.00527601	-0.0520115	-0.0520115	
6.02	3.49363e-17	-0.00532838	-0.00532838	-0.0527367	-0.0527367	
6.03	2.40246e-17	-0.00538147	-0.00538147	-0.0534456	-0.0534456	
6.04	3.11359e-17	-0.00543526	-0.00543526	-0.0541379	-0.0541379	
6.05	2.27526e-17	-0.00548974	-0.00548974	-0.0548134	-0.0548134	
6.06	3.40945e-17	-0.00554488	-0.00554488	-0.0554717	-0.0554717	
6.07	2.00531e-17	-0.00560067	-0.00560067	-0.0561126	-0.0561126	
6.08	2.78539e-17	-0.0056571	-0.0056571	-0.0567359	-0.0567359	
6.09	2.28418e-17	-0.00571414	-0.00571414	-0.0573413	-0.0573413	
6.1	3.11959e-17	-0.00577177	-0.00577177	-0.0579285	-0.0579285	
6.11	1.85746e-17	-0.00582999	-0.00582999	-0.0584973	-0.0584973	
6.12	3.2199e-17	-0.00588876	-0.00588876	-0.0590476	-0.0590476	
6.13	1.81677e-17	-0.00594807	-0.00594807	-0.0595789	-0.0595789	
6.14	3.22075e-17	-0.00600791	-0.00600791	-0.0600913	-0.0600913	
6.15	2.47362e-17	-0.00606824	-0.00606824	-0.0605844	-0.0605844	
6.16	3.32169e-17	-0.00612906	-0.00612906	-0.0610581	-0.0610581	
6.17	2.39228e-17	-0.00619035	-0.00619035	-0.0615121	-0.0615121	
6.18	3.42176e-17	-0.00625208	-0.00625208	-0.0619463	-0.0619463	
6.19	2.4702e-17	-0.00631423	-0.00631423	-0.0623605	-0.0623605	
6.2	3.30473e-17	-0.00637679	-0.00637679	-0.0627546	-0.0627546	
6.21	1.58486e-17	-0.00643973	-0.00643973	-0.0631283	-0.0631283	
6.22	3.35457e-17	-0.00650304	-0.00650304	-0.0634816	-0.0634816	
6.23	1.68535e-17	-0.00656668	-0.00656668	-0.0638143	-0.0638143	
6.24	3.46616e-17	-0.00663065	-0.00663065	-0.0641262	-0.0641262	
6.25	2.24904e-17	-0.00669493	-0.00669493	-0.0644173	-0.0644173	
6.26	3.50271e-17	-0.00675948	-0.00675948	-0.0646874	-0.0646874	
6.27	2.37817e-17	-0.00682429	-0.00682429	-0.0649364	-0.0649364	
6.28	2.63201e-17	-0.00688934	-0.00688934	-0.0651642	-0.0651642	
6.29	2.72361e-17	-0.00695461	-0.00695461	-0.0653708	-0.0653708	
6.3	3.12227e-17	-0.00702007	-0.00702007	-0.065556	-0.065556	
6.31	1.67886e-17	-0.00708571	-0.00708571	-0.0657197	-0.0657197	
6.32	2.81807e-17	-0.0071515	-0.0071515	-0.065862	-0.065862	
6.33	1.90574e-17	-0.00721742	-0.00721742	-0.0659827	-0.0659827	
6.34	3.62717e-17	-0.00728346	-0.00728346	-0.0660818	-0.0660818	
6.35	1.1699e-17	-0.00734958	-0.00734958	-0.0661593	-0.0661593	
6.36	3.93922e-17	-0.00741576	-0.00741576	-0.0662151	-0.0662151	
6.37	1.65573e-17	-0.007482	-0.007482	-0.0662491	-0.0662491	
6.38	3.61727e-17	-0.00754825	-0.00754825	-0.0662615	-0.0662615	
6.39	2.00905e-17	-0.00761451	-0.00761451	-0.0662522	-0.0662522	
6.4	3.86197e-17	-0.00768074	-0.00768074	-0.0662211	-0.0662211	
6.41	1.78018e-17	-0.00774694	-0.00774694	-0.0661684	-0.0661684	
6.42	3.77445e-17	-0.00781307	-0.00781307	-0.0660939	-0.0660939	
6.43	1.35334e-17	-0.00787912	-0.00787912	-0.0659978	-0.0659978	
6.44	3.77327e-17	-0.00794505	-0.00794505	-0.0658802	-0.0658802	
6.45	1.69144e-17	-0.00801087	-0.00801087	-0.0657409	-0.0657409	
6.46	4.151e-17	-0.00807653	-0.00807653	-0.0655801	-0.0655801	
6.47	1.97639e-17	-0.00814201	-0.00814201	-0.0653979	-0.0653979	
6.48	3.95991e-17	-0.00820731	-0.00820731	-0.0651943	-0.0651943	
6.49	1.87327e-17	-0.00827239	-0.00827239	-0.0649695	-0.0649695	
6.5	3.78869e-17	-0.00833724	-0.00833724	-0.0647234	-0.0647234	
6.51	1.11483e-17	-0.00840183	-0.00840183	-0.0644562	-0.0644562	
6.52	3.63737e-17	-0.00846614	-0.00846614	-0.0641681	-0.0641681	
6.53	1.16073e-17	-0.00853015	-0.00853015	-0.063859	-0.063859	
6.54	3.98588e-17	-0.00859385	-0.00859385	-0.0635293	-0.0635293	
6.55	1.98903e-17	-0.0086572	-0.0086572	-0.0631788	-0.0631788	
6.56	3.78409e-17	-0.0087202	-0.0087202	-0.0628079	-0.0628079	
6.57	1.67854e-17	-0.00878281	-0.00878281	-0.0624167	-0.0624167	
6.58	3.90098e-17	-0.00884502	-0.00884502	-0.0620053	-0.0620053	
6.59	1.60598e-17	-0.00890681	-0.00890681	-0.0615739	-0.0615739	
6.6	4.1739e-17	-0.00896816	-0.00896816	-0.0611226	-0.0611226	
6.61	1.70178e-17	-0.00902904	-0.00902904	-0.0606517	-0.0606517	
6.62	4.37167e-17	-0.00908945	-0.00908945	-0.0601613	-0.0601613	
6.63	2.22978e-17	-0.00914936	-0.00914936	-0.0596516	-0.0596516	
6.64	4.20742e-17	-0.00920874	-0.00920874	-0.0591228	-0.0591228	
6.65	2.24308e-17	-0.00926759	-0.00926759	-0.0585752	-0.0585752	
6.66	3.90131e-17	-0.00932589	-0.00932589	-0.058009	-0.058009	
6.67	1.89107e-17	-0.0093836	-0.0093836	-0.0574243	-0.0574243	
6.68	3.90455e-17	-0.00944073	-0.00944073	-0.0568215	-0.0568215	
6.69	1.81258e-17	-0.00949724	-0.00949724	-0.0562007	-0.0562007	
6.7	3.11966e-17	-0.00955312	-0.00955312	-0.0555622	-0.0555622	
6.71	2.65416e-17	-0.00960835	-0.00960835	-0.0549063	-0.0549063	
6.72	3.42404e-17	-0.00966292	-0.00966292	-0.0542332	-0.0542332	
6.73	2.47342e-17	-0.00971681	-0.00971681	-0.0535432	-0.0535432	
6.74	3.46718e-17	-0.00977	-0.00977	-0.0528366	-0.0528366	
6.75	2.34319e-17	-0.00982248	-0.00982248	-0.0521136	-0.0521136	
6.76	3.62993e-17	-0.00987422	-0.00987422	-0.0513746	-0.0513746	
6.77	1.0043e-17	-0.00992522	-0.00992522	-0.0506198	-0.0506198	
6.78	3.90133e-17	-0.00997545	-0.00997545	-0.0498496	-0.0498496	
6.79	1.92658e-17	-0.0100249	-0.0100249	-0.0490642	-0.0490642	
6.8	3.30058e-17	-0.0100736	-0.0100736	-0.048264	-0.048264	
6.81	2.66411e-17	-0.0101214	-0.0101214	-0.0474492	-0.0474492	
6.82	3.59451e-17	-0.0101685	-0.0101685	-0.0466203	-0.0466203	
6.83	1.10455e-17	-0.0102147	-0.0102147	-0.0457775	-0.0457775	
6.84	3.19678e-17	-0.01026	-0.01026	-0.0449211	-0.0449211	
6.85	2.54391e-17	-0.0103045	-0.0103045	-0.0440516	-0.0440516	
6.86	3.43888e-17	-0.0103481	-0.0103481	-0.0431693	-0.0431693	
6.87	2.27537e-17	-0.0103908	-0.0103908	-0.0422745	-0.0422745	
6.88	3.12895e-17	-0.0104327	-0.0104327	-0.0413675	-0.0413675	
6.89	1.87604e-17	-0.0104736	-0.0104736	-0.0404488	-0.0404488	
6.9	3.55366e-17	-0.0105135	-0.0105135	-0.0395188	-0.0395188	
6.91	1.24621e-17	-0.0105526	-0.0105526	-0.0385777	-0.0385777	
6.92	3.93965e-17	-0.0105907	-0.0105907	-0.0376259	-0.0376259	
6.93	1.25368e-17	-0.0106278	-0.0106278	-0.0366639	-0.0366639	
6.94	3.53574e-17	-0.010664	-0.010664	-0.035692	-0.035692	
6.95	1.51887e-17	-0.0106992	-0.0106992	-0.0347106	-0.0347106	
6.96	4.09785e-17	-0.0107334	-0.0107334	-0.0337202	-0.0337202	
6.97	1.38309e-17	-0.0107667	-0.0107667	-0.032721	-0.032721	
6.98	3.91011e-17	-0.0107989	-0.0107989	-0.0317135	-0.0317135	
